,context,by,when,post
0,crash,[DFC] Itnetlolor,"Sep 4, 2014 @ 10:26pm ","Being penalized by score per-crash, but not breaking the game/song would be a more fair mode to it. Zen Mode of that would be no score being submitted, but would still show up for the curious (and despite crashes). We can keep these original settings for challenging/gamer difficulty, and hardcore would be more like AAAAaaaaAAAAaaaa, and one-hit-kill.For story purposes, you\\\'re wearing special protective ""D-Phaze Gear"" or something. Not as impressive (harder difficulties give higher scores, because, you know, your life\\\'s at stake here, and you\\\'re deciding to put your life on the line), but at least you don\\\'t have to worry about that PB&J in a can you call your head being blended like a milkshake anytime soon. Plus, you\\\'re falling for fun, and bieng one with the breeze (kinda the point of Zen), who cares whether you drop dead or not by the end, or on the way?Should fall within the general brand of humor these games have, at least. It also explains the difficulty ratings, what and how they provide, and why casual/zen mode would be like it is, and why hardcore gives you only one chance."
1,crash,"Feb 14, 2014 @ 8:43pm",So like I just played this...and it was a thing.,"Like, wow.  Last time I played this it was during the potato game thing.  It was...quite ugly.On a whim, I decided to install and play it today for the cards(which is totally why you buy and play games, as they are clearly not enjoyable at all, right?).  And I quickly found out to my pleasent surprise that not only is there an actual game to be found here, it also looks to be shaping up to be pretty awesome.  Needs a lot more content still, but what\\\'s here feels fun, challenging, and makes me want to play it again.Which is good, because I suck at keeping my face from crashing into the simplest of geometry, apparently.Anyway, thought you developer folks might like to know that I am sitting here, enjoying your strange form of entertainment you call a video game, and rocking to songs and such.I have yet to attempt The Hitchhikers Guide to the Galaxy: Episode 1(the radio show).  I\\\'m not sure I have the nerves/skills needed for such a long venture with only three hits.  Maybe a later date.----A bit of feedback:-When none of the objectives for a level are done yet, can the retry button be a bit more shiny?  I keep accidently clicking ""back to menu"" on the scores screen, which means I get to then wait for the level to generate itself instead of getting the quick ""rebuilding level"" load time.  It\\\'s just so tiny and small and down there.  I understand the logic of having the back to menu being more prominent(since when we play our own songs, we probably are more likely to want to change tracks then play the same level again), but the story objectives often need several runs to get a good one going.-Also, most of the main menu does nothing.  I\\\'m guessing this is known already though.-I have also found that pressing esc twice ends the game.  While this is a nice ""Boss is coming, look busy"" mode, it fails to come back to life due to the exiting of the exe.  Perhaps quitting should be put on some sort of pause menu like other less ""Boss is coming"" games?-I am loving the hack mechanic, and that you can tap Spacebar to do it as well.  It\\\'s much simpler then the hectic double action spray/thumbs up/thumbs down in Aaaa, while still needing attention and skill to plan a run for the most of them.-For that matter, keep the A and D keys rotating as well.  I actually am finding myself using both keys and the mouse buttons interchangably when playing.  It feels really good that both inputs work and do what I think they should be doing.-I\\\'m not all sure how skimming things works, or how the hit meter/multiplier and such work.  Could use a bit more explaining as the scores seem to involve this meter and I\\\'m currently not sure what the game expects me to try besides sailing near buildings and collecting objects.-I\\\'ve seen that there seems to be some points or charge up sound for sailing along something with the bottom screen lined up to the surface.  There\\\'s no current explanation for what this does however, and whatever it is, it\\\'s subtle enough where I have yet to figure it out.  I gather it\\\'s supposed to be a good thing.  -More single player preselected track content teaching scoring techniques would probably help tremendously.That\\\'s it for now.  Rock on guys, this is some sort of game now, and it\\\'s shaping up to be pretty cool."
2,crash,"Oct 1, 2013 @ 9:13am","Music file browser stuck, need help!","I got to city 4 for the first time, and the music file browser popped up asking me to select a song. I navigated to my personal music folder, and then the file browser completely hung with the spinning hexagon. It\\\'s been twenty minutes and it\\\'s still spinning. This particular folder has thousands of songs in it and I think the game is trying to scan each one and getting stuck. If I back out of the level and try and go back in, the game crashes.I understand now there\\\'s a folder in steamapps/123kickit where I can drop my music. The problem is now the music file browser ""remembers"" where I last told it to go, so it keeps trying to scan again and gets stuck again.I\\\'ve tried deleting the game and re-installing, I\\\'ve even tried manually deleting everything in the folder and doing a cache verification, but it still remembers the last location. It still remembers which levels I\\\'ve completed too, so it must not have wiped properly.Is there: a) a way to reset the game completely and utterly 100% from scratch?b) a way to reset the file browser to start pointing at its default location again?"
3,crash,"Oct 19, 2013 @ 4:17am",New Review 3.0(?),"So, as ever, I wanted to give people (and maybe if they\\\'re reading - the developers) a quick insight into what I thought, as I\\\'ve been following this for a good few months now and returned to it after the latest update...Firstly, to avoid scouring through my ramblings - the obvious glitches / bugs...The multiplier. It\\\'s broken. If you crash into walls it goes up and if you keep on flying and not hitting anything, it goes down. Clearly it was programmed so that when you fly into \\\'collectibles\\\' it goes up... but it also works when you hit something!Second glitch? Collectibles. When you auto-generate a level with your music; 5.6, 3.2 open worlds in particular - there aren\\\'t any. So no multiplier. Unless you hit walls and then get some.Final gripe? ""return to desktop"" - argh, after each level you go back to main menu, have to log in again and then scroll to where you were.. not ideal!Oh and side point gripe - WASD - wasn\\\'t a problem except it didn\\\'t work! WS up and and down did - left/right I had to use mouse buttons, but I mapped everything via Pinnacle and used controller - much more fun that way!Okay..Onto the levels...Certainly the game has never looked better, 3.1 is amazing with the flying traffic, 5.0 looks lovely and there are some great ideas in 5.2. I do like the tunnel of 5.4 - but slightly repetitive and the colour of the tunnel, seems to jar with the neon stuff inside (it almost looks like an old empty picture frame..) but that might be just me..I see we\\\'ve gone from ""the world reacting to your music"" i.e. pulsing to the beat, colours changing, etc. to ""the world generated by your music"" - more like Space Invaders Infinity - which is kind of fine by me, but not really what was suggested when I got it, no biggie though, but there\\\'s now zero connection to what you\\\'re listening to and the blocks around you, which makes the levels feel a little lifeless to be honest. They\\\'re missing that crazy pulsing equaliser type effect.. but still very playable!5.0 looks nice but not much to do same with 5.6 - I assume the V.01 and V.2 are to progress some kind of story as there\\\'s literally nothing to do in those... I would have liked to play my music on all the levels - just for the variety (I swear if I have to listen to \\\'future shock\\\' one more time I may have to go on a retro city rampage) but the shame of that is 3.0 level is actually fun and there\\\'s more to do in that (on mute) than a lot of the other levels...And that\\\'s my biggest gripe I guess, it\\\'s never looked lovelier, it\\\'s never been slicker, the addition of collectibles is GREAT - love that for the multiplier idea (once fixed) - I like the fact it\\\'s harder to get grinds against walls, I like using a controller, it gives a wobbliness to controls so you can\\\'t be so exact, I like the new menu systems, there\\\'s a lot there I like (new aesthetics / blocks look lovely, the backgrounds are great) - it\\\'s all very nice.. and you know there\\\'s a ""but"" coming... this iteration really has the least amount of player interaction in what you can do WITHIN LEVELS - and that\\\'s the worrying thing... I auto-generated a good few levels with different songs and it generally ended up being a block of squares in the middle of the screen or the tunnel (oh yes, tunnel \\\'glitch\\\' is that you can\\\'t collect your score in the square tunnels until you fly out as it keeps adding to your score, no chance to actually collect points you\\\'ve earned - a bit odd)... so yes... great progress technically, but from a player\\\'s point of view, several steps back... and now no connection to music / level, I\\\'m not sure how this can be marketed... or it\\\'ll need to be marketed slightly differently...Will I stick with it? Of course! I want to see how it grows! Will I be getting Audiosurf 2 to see how levels link with music? I\\\'m afraid so... I didn\\\'t want to, 1,2,3 isn\\\'t quite giving me what it put on the can at the start, but it\\\'s certainly a fun diversion... and well worth purchasing, as long as you understand what you\\\'re getting.."
4,crash,"Aug 19, 2013 @ 12:50pm",Achievement ideas,Note: these are just ideas.- Getting Started Is Easy (complete the tutorial)- Who Wants To Be A Millionaire? (Get a score of 1.000.000 or more on any song)- We Don\\\'t Need No Healthcare (Complete a level without crashing into anything)- Multiply That By 5 (get a x5 multiplier and keep it for the entire song)- Through The Tube ( Thread the needle 10 times or more in one song)- That\\\'s One Hell Of A Crowd ( Aqcuire a total of 750.000 followers(number can vary))- A Smashing Outro! (finish a city with crashing into something)- One To The Two (Complete a song while keeping your multiplier smaller than 3)- Music Marathon (Play a song longer than 10 minutes on any city)- Keeping A Straight Face ( Complete any city without rotating)- Get Your Groove On ( get a groove of more than 100.000 points)
5,crash,"Jul 22, 2013 @ 1:08pm",Azumi\\\'s Impenetrable Juggernaut Wingsuit,"As the name implies, Azumi Pentak is a juggernaut with her self-printed wingsuit.Right now, she can smash through buildings with no percieved injury as if they were paper, destroying them completely. I find this a tad unrealistic for my tastes and would appreciate either a harsher penalty aside from a simple multiplier decrease, or maybe a hardcore mode not unlike ""AAAA! - Reckless Disregard"", where crashing into a building results in a bone-crunching game over.I really believe this difficulty increase would help the ugly babies crap themselves in flight and learn how to control themselves better when performing stunts."
6,crash,"Jul 8, 2013 @ 1:36am",Strong Edges are Great Feedback,"""Quick"" list of feedbackI\\\'ve noticed that the times where Ugly Baby really shines for me is when there\\\'s a lot of direct feedback from the song. The most immediate example being level 3.1 where the light flashes with strong sounds like cymbal crashes, and in general when I notice that the level is being built to the beat. I hope to see more direct responses like that.I have a love/hate relationship with the way the levels change tone with the song. On the one hand, I think it\\\'s amazing because it\\\'s there and occasionally it changes perfectly with the song, and provides the same immediate feedback like the kind I get from 3.1\\\'s lights. On the other hand, it really bums me out when the change happens too late or too early.Tl;DR (paragraph), the shifts are great, but I hope you guys can polish the timing a bit more.Another touch I like is when I pass cars or gain a multiplier. They both sound great, but I\\\'ve found that they work best when I see them leading up to and following a quiet moment (read; second or two) in the song and the sound effect pierces through and reminds me that I\\\'m playing a game, not listening to my iPod.Favorite levels in decreasing order: 3.1, 3.2, 4, 3.3Why? Well, I like how 3.1 is constant action and it really is a challenge to try to get points while avoiding buildings (and the aforementioned light effects). 3.2 is fun because of the variety in the level and because I like the feedback the flying cars tend to give. 4 is hit and miss for me as sometimes it just gives me a boring path to follow down the middle, and otherwise is just really sparse; making it difficult to keep my multiplier. I don\\\'t really like 3.3 because I like levels that I can rotate freely, and the wall that tends to form feels like a forced path. The way it tends to force me towards the ""outskirts"" is also fairly annoying. Maybe if there were more gaps to squeeze through near the middle I\\\'d enjoy it more.I know that the game\\\'s premise is falling, but without anything to tell me which way is up, I might as well be flying in space. Something as simple as some signs or flying text on the walls facing up would probably improve that (maybe, I don\\\'t know).*edit* By facing up, I mean the way we normally place signs and propaganda, not floating like they are in levels 1-3.Side note: what determines how long the scoring system goes offline when you hit something? As far as I can tell it\\\'s completely random."
7,crash,"Jun 28, 2013 @ 4:12pm",Can\\\'t find my old thread - so here\\\'s my third update!!!,"Well....Where to start...We\\\'ve travelled through virtually no visual feedback from grinds, etc. (buzzes?) to points on screen, more psychedlic backdrops and now the latest iteration!Again...Who am I to comment? (36 years old, had a C64, played games from Mastertronic to Ocean, to Dreamcast, SNES, Gamecube, PS1, 2 and 3, Xbox and 360, and now disillusiioned with consoles, back to my motherland, the PC....?)THIS!Whatever version it is!It\\\'s certainly different!We\\\'ve gone from very retro graphics (solid block colours) to textures, words, and allsorts!Firstly...Storywise... sorry, no, doesn\\\'t work for me, I honestly don\\\'t think you need to wrap this game up in such stuff, she almost reminded me of Mirror\\\'s Edge.. and no, so... no...Secondly... you have the retro grinding effects vs textured objects - very jarring... personally I think it looks cleaner and more distintictive as solid blocks, Tron-like, I\\\'m not a fan of generic looking blocks...Thirdly (I\\\'ll stop counting now, sounds a bit shirty!) it all seems so remote from the music to gameplay ratio that I gave up from 3.0... (and I\\\'ve played every iteration since I bought and will continue to do so) - it kind of a) didn\\\'t let me play my own music from the start.. b) didn\\\'t relate to the songs it was playing really.. (which was surprising) and c) just seemed to create a massive disconnect for me (maybe because I\\\'ve played previous versions?)I kind of just wanted to jump back in, see the new stuff with my music and see how well you\\\'d matched the backgrounds to it... but that wasn\\\'t the point I guess with this update!Erm...What else?I was thinking... you know what would make an amazing \\\'connect\\\' to the game and the background and all the rest of it? 3rd person. At the moment you\\\'re just a dot on the screen, a target, a crosshair, nothing you do relates to anything...Maybe for this, and continuing with music theme? an avatar - a figure free-falling, sliding, wobbling, waving, crashing...I think actually it would be perfect (nightmare to program I\\\'m sure) but unlike audiosurf (what I\\\'ve likened to in the past) - there\\\'s nothing \\\'tangible\\\' to grab on to, or see the effect / causes of what you\\\'re doing...Out of all the updates, this has been my least favourite... I don\\\'t think it related to music vs machine, more ""try out new ideas"" - which is totally cool (love you guys for reading all of this) but ultimately for me, this game will succeed or fail on how well you match the beat / music to what is going on around you - forget storyline and all that jazz.. nail the essential mechanics and you\\\'re on to a winner - if it doesn\\\'t and it\\\'s all a bit \\\'meh\\\' and wobbly - it\\\'ll be no different to ""aaaaaaaaaah"" and will unfortunately fail... :(Good luck and can\\\'t wait to see the next version!! xD"
8,crash,#3,"Mar 23, 2013 @ 1:52pm ","LEVEL 4-I played ""Falling Down"" by Muse.  The loading time was 35.69 seconds.-""Falling Down"" is a mostly calm and slow song.  Somehow, I began the level crashing headfirst into fhe very first block.  When I got into the level, later on, I discovered that the left mouse button was useful (twisting counter clockwise relative to the spiral).  I think that\\\'s a good level to let the player make use of that trick."
9,crash,#5,"Mar 23, 2013 @ 2:11pm ","LEVEL 5-I played ""Cave"" by Muse.  The loading time was 39.27 seconds.-As this is the first unlockable level where you can control ""Fatness,"" ""Spread,"" and ""Salt,"" I decided to keep all the settings at 0 for standard measure (I may play ""Cave"" later with varying settings for comparison).-For this level, I made sure to take advantage of the turning feature.  It may have been my lack of experience with playing this game, but I found that turning significantly increases my likelihood of crashing into the shapes.-I like how the more quiet parts of the song make the level more disparate, but I must question why there are certain clusters of shapes so far from me for when the song resumes to normal."
