,context,by,when,post
0,crash,twisted.14,"Mar 5, 2014 @ 9:04pm ","Try out 1111.  Huge mountain that is a 3 minute ride with the hovercraft.  Look for what seems to be a huge cave, and you will find a pit, 1200 foot freefall to the bottom. There is a lot of ore.  I\\\'ve been able to play the game for hours without a crash, since this last update."
1,crash,Payodee,"Mar 6, 2014 @ 12:04am ","Seed - $%It\\\'s awesome that you can use any character right now in a seed.I\\\'ve been maxing out the graphics and trying to do some exploring of multiple seeds. This is one of my favorites right now. http://steamcommunity.com/profiles/76561198073788718/screenshots/?l=englishThe first 3 should show the spawn point, which puts you right up next to some small mountains, I have some pictures going beyond those leading into a forest valley. (haven\\\'t uploaded those yet)The ridge that you also see... Well let\\\'s just say it\\\'s pretty massive. I was excited with 0.5 and the massive size. The sheer scale now though.... I still can\\\'t get over it. I\\\'m gonna try and see if I can get a video prepped. If you flip the gallery to oldest first you\\\'ll see my trek into it. Some shots look amazing once everything renders in.My only issue is I get memory leaks and crashes still. Though I am trying to max this game out. (And yes... I was pretty lazy not turning off that tutorial. I\\\'ll make sure to turn it off in other screenshots)"
2,crash,damndamnation,"Mar 7, 2014 @ 11:16am ","Originally posted by Resistance:Try out 1111.  Huge mountain that is a 3 minute ride with the hovercraft.  Look for what seems to be a huge cave, and you will find a pit, 1200 foot freefall to the bottom. There is a lot of ore.  I\\\'ve been able to play the game for hours without a crash, since this last update. i been discoering on this seed and was digging straight down near the vat. after 300 or so i ended up falling through the map and as I fell I noticed the makings of a deep underground tunnel from from outside the glitched terrrain. I am now attempting to dig down and see if i can connect to it w/o falling through and then maybe find a way back to the surface through this tunnel."
3,crash,#10,"Mar 7, 2014 @ 11:13pm ","Originally posted by jackhammerrage:Originally posted by Resistance:Try out 1111.  Huge mountain that is a 3 minute ride with the hovercraft.  Look for what seems to be a huge cave, and you will find a pit, 1200 foot freefall to the bottom. There is a lot of ore.  I\\\'ve been able to play the game for hours without a crash, since this last update. i been discoering on this seed and was digging straight down near the vat. after 300 or so i ended up falling through the map and as I fell I noticed the makings of a deep underground tunnel from from outside the glitched terrrain. I am now attempting to dig down and see if i can connect to it w/o falling through and then maybe find a way back to the surface through this tunnel. I just made my way down to 400, right along the vat.  Nothing was happening, so i spawned a few hovercrafts.  I eventually broke free and started falling,  Usually i would have felll for a long time, but this time i hit a platform.  It almost looked like a network of roots.  I guess I will look for them in other areas,"
4,crash, 6,"Dec 15, 2016 @ 1:04pm",Startup crash w/ error
5,crash,MrPat91,Sep 20 @ 3:15pm,Arma 3 crashes on start
6,crash,Valen,Sep 18 @ 9:51am ,"I have had something like that. When I saved the Pilgrimage SP mission with a bunch of mods, including ACE. Somehow the save file grew over a certain threshold and it crashed. My solution, play without ACE and revert to a previous save.Your issue may have a different cause though."
7,crash,Sep 16 @ 4:44pm,Arma 3 crashes on start,"Lately my arma 3 crashes 3 or 4 times my pc before running giving me either a system check failure or an DPC watchdog violation error, if anyone could help me I would be gratefull"
8,crash,How To STOP Crashing...,by If e+\\xcf\\x80/e - \\xcf\\x80\\xe2\\x88\\x9a2 then 2e K+1 = ?,So this is a guide  to end your crashing...
9,crash,[CRASH FIX] 0xC0000005 - STATUS_ACCESS_VIOLATION,by Dragon,I found a way to fix a crash related to memory allocation. If you running  Arma 3  on  Windows 10 [64-bit]  and your game crashing constantly you might try to fix it by following instructions in this tutorial.
10,crash,Supply Crates, 3,crash on launch
11,crash,#5,Sep 20 @ 9:22am ,"Originally posted by dvd.brewster:open your game options.. and auto-detect your system to the game.. video options..  try again no difference, it is not crashing due to not meeting specs"
12,crash,#7,Sep 22 @ 10:46am ,Check the  RPT. Files maybe it\\\'ll show the problem there. These files are like crash files. Just look at the last time you tried to log into the game by the date stamp on the file.here\\\'s how to find them.....c:\\\\users\\\\your_computer_name_\\\\appdata\\\\local\\\\arma 3
13,crash,Sep 14 @ 5:43am,crash on launch,"I\\\'ve just bought and installed Arma 3 on steam and once I tried to start it up it crashed on the loading screen saying initializing addons\\xc2\\xa0with no error announcement or anything like that. It just didn\\\'t launch. I tried a few times and once I tried to run it via Steam-steamapps-common-Arma3-arma3server.exe\\xc2\\xa0I receive crash report\\xc2\\xa0saying ""addon a3_characters_f_epb-heads requires addon a3_characters_f_heads"".I didn\\\'t install any mods or addons. Please help."
14,crash,Jul 25 @ 10:43am,Out of memory,out of memory error.  how to fix it.  arma 3 ran well all the time.  recently as I saved the game it crashed me to the desktop with an out of memory error.  I didn\\\'t have that before
15,crash,xe2\\x80\\xa0 Rox \\xe2\\x80\\xa0,"May 13, 2017 @ 2:46pm ","Try downloading & installing this Visual C++ thinghttps://www.microsoft.com/en-au/download/confirmation.aspx?id=30679If it still crashes, verifiy your game cache, make sure it is running as admin and run these executables in your  Arma 3\\\\_CommonRedist folder.D:\\\\Steam\\\\steamapps\\\\common\\\\Arma 3\\\\_CommonRedist\\\\DotNet\\\\4.5.1\\\\NDP451-KB2872776-x86-x64-AllOS-ENU.exe"
16,crash,#1,"May 13, 2017 @ 3:04pm ","Originally posted by \\xe2\\x99\\xa6 Rox \\xe2\\x99\\xa6:Try downloading & installing this Visual C++ thinghttps://www.microsoft.com/en-au/download/confirmation.aspx?id=30679If it still crashes, verifiy your game cache, make sure it is running as admin and run these executables in your  Arma 3\\\\_CommonRedist folder.D:\\\\Steam\\\\steamapps\\\\common\\\\Arma 3\\\\_CommonRedist\\\\DotNet\\\\4.5.1\\\\NDP451-KB2872776-x86-x64-AllOS-ENU.exe"
