,context,by,when,post
0,crash,Regeciedal,Feb 28 @ 10:25am ,So now my save files are gone and it crashes every time I try and start a new character. Nice game breaking update
1,crash,500 teeth,Jan 22 @ 5:50am ,crash fixes yay
2,crash,pukhnastyk,Jan 22 @ 6:12am ,"Yeah! Thanks for raw meat crash fix!Hope, there also would be no more empty towns from this patch"
3,crash,#5,Artemis,*Game crashes due to bug* *Game updates with fix to the (Possibly) exact bug* Hm.
4,crash,timmercado1975,Jan 22 @ 8:03am ,"I\\\'m super new to this game, but I love it, Devs... It\\\'s amazing.  Thanks so much for keeping it updated for as long as you have!  Now a new guy like me gets to fall in love with Kenshi kicking the crap outta me a lot, and now, with fewer crashes xD  You guys rule all the stuffs!"
5,crash,Shidan,Jan 24 @ 9:42am ,"It\\\'s in reference to the changes listed below it.""Fixed crash if modded charcter mesh has uvs outside 0-1 range (other than head)Fixed an issue with CHARACTER ""stealth stats"" propertyFixed crash if character model failed to load due to missing skeleton file"""
6,crash,Neemh,"Dec 21, 2019 @ 5:09am ",When i point on raw meat the game is crashes. To fix it need to downgrade to 1.0.40.
7,crash,SiglerRecords,"Dec 23, 2019 @ 3:47pm ","After this..I\\\'ve not seen any glitches with textures and the game didn\\\'t crash at all. (That was ah 5 hour nonstop session.) the only problems I\\\'m seeing right now is just some buildings in-game are sometimes unreachable, because of how they\\\'re placed in the world, but honestly  right now, I\\\'d keep more attention on frame rate and decreasing the load time it takes to travel..that\\\'s still pretty slow even though I\\\'m using my SSD drive for the best load time. Keep it up @Devs, I\\\'m feeling each patch through every game and it feels so much better than before. thanks All >3"
8,crash,Quint \\xc2\\xa4 \\xcf\\x82 \\xc2\\xa4,"Dec 24, 2019 @ 7:38pm ","hello there game keeps crashing when pointer hovers over rawmeat in inventory or sale menu, also agro range of npcs broken had a red sabre chase me from far end of swamp all the way to well into deadlands and holy sentinels not giving up the chase when escaping rebirth"
9,crash,"Dec 14, 2018 @ 5:01am",Updated Roadmap,"Kenshi has now left Early Access and is fully released.What does this mean for Kenshi\\xe2\\x80\\x99s future? It means that there will be no new features added, Kenshi is feature complete, but we will be continuing to fix all crashes and bugs reported to us. Localisations (in German, French, Spanish, Portuguese, Russian and Japanese) have all been finished and are in game, however we have been noticing a couple of small issues popping up since release, so we will continue to refine these.BUGS & CRASHESRight now we are working hard on bug fixes \\xe2\\x80\\x93 We understand crashes and bugs can be frustrating, you can report all instances in our Steam or Lo-Fi forums and we\\xe2\\x80\\x99ll look into it asap.LOCALISATIONWe\\xe2\\x80\\x99ve had a few issues reported including some missing strings which didn\\xe2\\x80\\x99t export and text not fitting in GUI buttons. We\\xe2\\x80\\x99re on it and should have an update out within the week. We also had reports from Japanese players that the translation is inaccurate and\\xe2\\x80\\xa6 not so good. So we have employed an experienced video game proofreader to refine this. You should see gradual improvement patches for Japanese over the next few months, we aim to be finished with all edits by March 2019. We welcome any feedback from all non-English speaking players!LUXURY FEATURESWe\\xe2\\x80\\x99ve seen some confusion amongst the community about luxury features and optimisation upgrades coming. Just to clarify, we will not be adding any more features or engine changes to Kenshi. Fortunately we were able to add a few luxury features before release including crawling combat, unarmed combat, dismemberment, blood and ranged combat. However no more luxury features will be being added."
