,context,by,when,post
0,crash,Now Available - Patterns Early Access,"Mar 20, 2013","Patterns Early Access is Now Available on Steam.Its your universe to shape. Patterns is an ever-expanding 3D space, where youll construct simple and complex structures as you harvest substances and discover new shapes that can be used to enhance your creativity.Patterns starts at a low level with simple, basic shapes and allows you to expand your universe as you add together other shapes to make more and more elaborate constructs. Build large scale structures that reach high into the sky or bridges that traverse wide chasms. Use your constructions to reach new areas and break out of your space to discover other worlds.Be careful! Each substance contains different physical properties that can cause your creations to tumble, crumble or crash down to the ground. Will your creations withstand the power of gravity?"
1,crash,"Jan 28, 2015 @ 7:21pm",only uses CPU,i have a GTX titain Z  and its a dual GPU but when i ran NV inspector ... i saw that patterns used only 20% of one GPU and left the other one untoutched :/ .... why would the game use the CPU if ... there is alot of physics goin on when i break something tied to a big thing :/  .... (The beanstalk map in the explore section) i snaped the beanstalk from the cloud it was on and had MASSAVE FRAME DROPS ( i thought the game crashed but when it cam back ... i got 2 FPS ... is there a way to fix it to where it uses 80% of my gpu and not my cpu ?
2,crash,"Nov 1, 2014 @ 10:00am",Taking the money and running away?,"Good f-ing job!""Yeah, we took the money from you for the full product but now we don\\\'t feel like developing it anymore, so...you know...go f*ck yourself our dear customer.""No compensation not even an apology. Your company just doesn\\\'t have ANY shame what so ever, does it?I\\\'ll make sure to let as many people as possible know how your company treats it\\\'s customers.Hopefully your business will crash and burn."
3,bug,Patterns 0.06a update,"Jan 27, 2014","As you may have noticed, we pushed a small build live over the weekend. This was all bug fixes (detailed below) to help improve the game. In the meantime, please keep making and sharing awesome substance packs and sending us your feedback!Bug fixes and maintenance[/h1]Fixed a problem where top tiles on Patterns would create holes in the world when deleted in a specific fashion.Multiplayer server maintenanceThe camera will reset to the default view when quitting a level and when deselecting the locked camera viewFixed a bug where by breaking off half of Genesis Plane Strip near the Eternium core causes holes in the world.It is no longer possible to break substance packs in the editor when selecting save too soon after selecting update.Fixed issue that caused some top tiles to be oriented incorrectly."
4,bug,Patterns update 0.06,"Jan 17, 2014","Welcome to our first update of 2014. We\\xe2\\x80\\x99re happy to announce some new features such as a locked camera view, new flat worlds to build on and more power added to the Substance Editor! 2014 is going to be a busy year for us. More modding capabilities and scripting are on our roadmap. Keep sharing your creations with us on the Cosmos and check in regularly for new and updates!You can read the full list of updates below.Substance pack editor[/h1]-- New graphic properties can be modded to change the look of substances in game:Specular-  Basically the shininess of the texture.  This uses a grayscale only palette with white being the most shiny. Color images are converted to grayscale.Occlusion-  Used to map darker and lighter pixels resulting in a texture with an illusion of relief.  Brick and bonestone are good examples of this technique. This can be used to create hot spots and shadows on substances. This also uses a grayscale palette and color images will be converted.Illumination-  Enables the glow and light emission effect for materials.   Lava and moonstone are good examples of this technique.. White to black is the range with white being the most illuminating.  Default color is black.Metal-  Affects the metallic quality of a substance. The default is black with white being the most metallic.-- HD setting option doubles the texture resolution when working in the substance pack editor.    Note: This is performance intensive while in the editor. -- It is now possible to be able to define the exact number of substances you want to include in your substance pack. So if you ever wanted to just have 5 substances, you can!Save data reorganization Worlds are now saved into their own directory with world data and the lua config file. As those worlds get loaded in game a new folder for that world and its save files will be created in ""\\\\\\\\user\\\\LindenLab\\\\Patterns\\\\WorldData"".  All subsequent saves will be saved to their own subdirectory under ""WorldData""When saving we now create a screenshot of the game in view at the point of saving.  This file will be placed in the world\\xe2\\x80\\x99s directory. New Features[/b] Genesis Plane Square:  Elegant, simple, and square.    Genesis Plane Strip:  Perfect for your flat world and elongated projects.Added lock camera option to the Scene Settings. You can use this to control the use of the camera and player experience in worlds shared on the Cosmos. Bug fixing and house cleaning Removed Hypatia V due to performance issues.Fixed ""collection challenge"" bug where the challenge mode persisted across multiple worlds.Fixed the saved game time stamp bug.Fixed Multiplayer bug that prevented clients from placing saved patterns in hosted worlds.Fixed the Patterns inventory not being synced in network multiplayer.Hitting the repeat build key (the ""C"" key by default) to repeat the shape placement should now work as intended.Removed username from default save file name.Fixed not being able to \\xe2\\x80\\x9cLike\\xe2\\x80\\x9d more than one Cosmos world during a game session. "
5,bug,Release notes for Patterns version 0.05 Update 1,"Dec 13, 2013","We wanted to provide one more update to the game before we all go away for our holiday break.Today we are adding more settings that you can use to modify your worlds, along with some bug fixes. The new settings will allow you to control the lighting values, gravity settings and more!We hope you have fun with this and let us know how it is working for you.   In the new year we promise to role out more features that enable you to further mod your worlds.   Look for more updates from the Patterns dev team in 2014!Release notes for Patterns version 0.05 Update 1Substance Editor: new pack starts with sample flat color texturesChanged button in options screen from ""Substance Pack"" to ""Scene Selection""Added four categories of settings used to customizing your worlds (you can find this in the same menu where you choose a Substance pack):WorldGravity multiplierBuild gravity multiplierCreatures allowedSkyCloud on/offOther planets on/offSun and moon on/offOverride day/night cycleSky color gradient controlFog color controlFog distance settingsLightingDirect light colorDirect light intensityBounce light colorBounce light intensityAmbient light colorEffectsPost effectsSSAO blurSSAO radiusBug fixes[/h1]Cosmos log-ins no longer fail when passwords start with #Substances no longer have default pack properties with new packsFixed occasional hang at 35% when loadingFixed changing pack name and uploading problemsFixed problem where rocket bomb does not explodeFixed problem with line breaks in substance titles causing problemSubstance Packs can no longer be named Patterns as this created problems with loading default packsRemoved confusing button for saving substance pack in gameFixed sounds that play repeatedly when placing shape"
6,bug,Release Notes for Patterns Release 0.05,"Dec 10, 2013","Today we are updating the game and making available a Substance Pack Editor. With the tool you can modify textures and the physical behaviors of substances in the game. This is our first step in delivering on a plan that promises to provide more power to you that enables you to modify how Patterns looks and plays. See our developer blog for the nitty gritty details of the Substance Pack Editor and learn more about about the scripting taking place behind the scenes. If you are ready to get started you can find our in depth dev blog here[www.patternsguru.com].You can also watch our tutorial video on the Patterns YouTube channel. We can\\xe2\\x80\\x99t wait to see what you create! Substance Pack Editor version 0.1 First release of tool to create and edit substance packs.Texture panel for managing and importing modded images and normal mapsAdded directory support for UGC content  ...LindenLab\\\\Patterns\\\\UGCEdit interface for the following substance properties:Substance NameCrumbleDurabilityLiftWeightHurt PlayerLightLight ColorFootprint colorFootprint timeBehavior (Normal, Bouncy Slippy, Sticky)Patterns Client updatesSubstance Pack Editor launch option from main menu of PatternsIn game UI for loading substance packs from the pause menuSave content is now written to save path from to ...LindenLab\\\\PatternsMultiplayer and Cosmos support for Substance PacksVarious bug fixes and optimizations"
7,bug,Release Notes for Update .04a version 67263 8/22/2013,"Aug 22, 2013","Hello Patterns Fans!It\\xe2\\x80\\x99s been awhile since our last update, but we\\xe2\\x80\\x99ve been busy fixing bugs and adding new features to Patterns. One of the new feature that we think you\\xe2\\x80\\x99ll really enjoy is what we\\xe2\\x80\\x99ve called \\xe2\\x80\\x9cEscher Gravity.\\xe2\\x80\\x9d Gravity will now no longer just pull towards the center of the planet. Now it\\xe2\\x80\\x99s based off what is below you - making a digital version of an Escher-esque painting a possibility for everyone!In addition to the new Escher Gravity, there are two new block features: Runestone signs and Lanterns! Lanterns can be made by using 4 silver tetrahedrons and one moonstone octahedron. Once built, you can turn lanterns off and on by hitting the moonstone with your beam. Detailed instructions can be found on our official wiki[patterns.gamepedia.com].Using square Runestone top tiles (the blocks that are bound to 1 on your keyboard by default), you can now leave signs for other players. Once placed, double click on the block to begin writing your message. You can scale text size by adding more blocks next to each other and experimenting!We continue to work on fixing bugs and adding new features to Patterns, and appreciate all of your feedback and support. Stay tuned for more updates!The Patterns TeamRelease Notes for Update .04a version 67263 August 22, 2013GravityUse gravity as a tool and check out the new possibilities! Can you build an Escher Staircase? Patterns gravity is now called ""Escher gravity"". Gravity no longer pulls to the center of the planet and instead is based on what\\xe2\\x80\\x99s below the player. When digging underground, down is defined by the direction one enters underground.LightingPlease check out our wiki[patterns.gamepedia.com] for detailed instructions. Patterns now uses fully dynamic lighting with light emanating from the character, lava and moonstone substances. The Lantern is a new formation which can be used to shed light on darker areas. To build it place 3 silver tetrahedrons, 1 moonstone octahedron in the center, and another silver tetrahedron on top.  Turn Lanterns on and off by hitting the moonstone shape with your beam.Runestone SignsWrite on Runestone top tiles to leave messages for other players in their worlds! To use, simply place a Runestone top tile on any square surface and double-click, then type, and hit enter. The font will shrink to fit on the cube so play around with multiple faces to write in larger Font Sizes.Camera Improved camera for digging and mining. Confined spaces will no longer be as troublesome. Transparency on the player avatar will make maneuvering through the world easier - no more blocked view!Multiplayer We\\xe2\\x80\\x99ve started using a Peer to Peer implementation to allow easier connectivity to games. Password support for private game hosting. There\\xe2\\x80\\x99s a new game lobby for hosted multiplayer games in the main menu. This will allow players to find games easily.Bug Fixes A variety of multiplayer bug fixes are in this patch due to the new Peer to Peer implementation. Main menu UI fixes and flow improvements are included. Players list is no longer available in single player games.Known Issues Previously saved planets are not set up for Escher gravity. The Lanterns are unbreakable until they are turned into free patterns. There\\xe2\\x80\\x99s still an issue with memory consumption so save often and exit the game to free up memory especially when in larger worlds. The new lighting effects on substances can cause some framerate issues if there are a lot on screen. There is a known issue that causes instability in Patterns after playing for a while.  Please restart Patterns between levels for best results."
8,bug,"Jan 27, 2014","As you may have noticed, we pushed a small build live over the weekend. This was all bug fixes (detailed below) to help improve the game. In the meantime, please keep making and sharing awesome substance packs and sending us your feedback!Bug fixes and maintenance[/h1]Fixed a problem where top tiles on Patterns would create holes in the world when deleted in a specific fashion.Multiplayer server maintenanceThe camera will reset to the default view when quitting a level and when deselecting the locked camera viewFixed a bug where by breaking off half of Genesis Plane Strip near the Eternium core causes holes in the world.It is no longer possible to break substance packs in the editor when selecting save too soon after selecting update.Fixed issue that caused some top tiles to be oriented incorrectly.",Bug fixes and maintenance[/h1]Fixed a problem where top tiles on Patterns would create holes in the world when deleted in a specific fashion.Multiplayer server maintenanceThe camera will reset to the default view when quitting a level and when deselecting the locked camera viewFixed a bug where by breaking off half of Genesis Plane Strip near the Eternium core causes holes in the world.It is no longer possible to break substance packs in the editor when selecting save too soon after selecting update.Fixed issue that caused some top tiles to be oriented incorrectly.
9,bug,"Jan 17, 2014","Welcome to our first update of 2014. We\\xe2\\x80\\x99re happy to announce some new features such as a locked camera view, new flat worlds to build on and more power added to the Substance Editor! 2014 is going to be a busy year for us. More modding capabilities and scripting are on our roadmap. Keep sharing your creations with us on the Cosmos and check in regularly for new and updates!You can read the full list of updates below.Substance pack editor[/h1]-- New graphic properties can be modded to change the look of substances in game:Specular-  Basically the shininess of the texture.  This uses a grayscale only palette with white being the most shiny. Color images are converted to grayscale.Occlusion-  Used to map darker and lighter pixels resulting in a texture with an illusion of relief.  Brick and bonestone are good examples of this technique. This can be used to create hot spots and shadows on substances. This also uses a grayscale palette and color images will be converted.Illumination-  Enables the glow and light emission effect for materials.   Lava and moonstone are good examples of this technique.. White to black is the range with white being the most illuminating.  Default color is black.Metal-  Affects the metallic quality of a substance. The default is black with white being the most metallic.-- HD setting option doubles the texture resolution when working in the substance pack editor.    Note: This is performance intensive while in the editor. -- It is now possible to be able to define the exact number of substances you want to include in your substance pack. So if you ever wanted to just have 5 substances, you can!Save data reorganization Worlds are now saved into their own directory with world data and the lua config file. As those worlds get loaded in game a new folder for that world and its save files will be created in ""\\\\\\\\user\\\\LindenLab\\\\Patterns\\\\WorldData"".  All subsequent saves will be saved to their own subdirectory under ""WorldData""When saving we now create a screenshot of the game in view at the point of saving.  This file will be placed in the world\\xe2\\x80\\x99s directory. New Features[/b] Genesis Plane Square:  Elegant, simple, and square.    Genesis Plane Strip:  Perfect for your flat world and elongated projects.Added lock camera option to the Scene Settings. You can use this to control the use of the camera and player experience in worlds shared on the Cosmos. Bug fixing and house cleaning Removed Hypatia V due to performance issues.Fixed ""collection challenge"" bug where the challenge mode persisted across multiple worlds.Fixed the saved game time stamp bug.Fixed Multiplayer bug that prevented clients from placing saved patterns in hosted worlds.Fixed the Patterns inventory not being synced in network multiplayer.Hitting the repeat build key (the ""C"" key by default) to repeat the shape placement should now work as intended.Removed username from default save file name.Fixed not being able to \\xe2\\x80\\x9cLike\\xe2\\x80\\x9d more than one Cosmos world during a game session. ","Substance pack editor[/h1]-- New graphic properties can be modded to change the look of substances in game:Specular-  Basically the shininess of the texture.  This uses a grayscale only palette with white being the most shiny. Color images are converted to grayscale.Occlusion-  Used to map darker and lighter pixels resulting in a texture with an illusion of relief.  Brick and bonestone are good examples of this technique. This can be used to create hot spots and shadows on substances. This also uses a grayscale palette and color images will be converted.Illumination-  Enables the glow and light emission effect for materials.   Lava and moonstone are good examples of this technique.. White to black is the range with white being the most illuminating.  Default color is black.Metal-  Affects the metallic quality of a substance. The default is black with white being the most metallic.-- HD setting option doubles the texture resolution when working in the substance pack editor.    Note: This is performance intensive while in the editor. -- It is now possible to be able to define the exact number of substances you want to include in your substance pack. So if you ever wanted to just have 5 substances, you can!Save data reorganization Worlds are now saved into their own directory with world data and the lua config file. As those worlds get loaded in game a new folder for that world and its save files will be created in ""\\\\\\\\user\\\\LindenLab\\\\Patterns\\\\WorldData"".  All subsequent saves will be saved to their own subdirectory under ""WorldData""When saving we now create a screenshot of the game in view at the point of saving.  This file will be placed in the world\\xe2\\x80\\x99s directory. New Features[/b] Genesis Plane Square:  Elegant, simple, and square.    Genesis Plane Strip:  Perfect for your flat world and elongated projects.Added lock camera option to the Scene Settings. You can use this to control the use of the camera and player experience in worlds shared on the Cosmos. Bug fixing and house cleaning Removed Hypatia V due to performance issues.Fixed ""collection challenge"" bug where the challenge mode persisted across multiple worlds.Fixed the saved game time stamp bug.Fixed Multiplayer bug that prevented clients from placing saved patterns in hosted worlds.Fixed the Patterns inventory not being synced in network multiplayer.Hitting the repeat build key (the ""C"" key by default) to repeat the shape placement should now work as intended.Removed username from default save file name.Fixed not being able to \\xe2\\x80\\x9cLike\\xe2\\x80\\x9d more than one Cosmos world during a game session. "
