,context,by,when,post
0,crash,The Rock 1.05 is here!,Aug 27,"Hello wardens,We have just deployed a new patch addressing some of the issues that were reported by the community. Thank you for all your feedback. We are grateful for our extremely passionate community!The Prison Architect TeamChangelog:Added a tooltip to explain why some construction work is blocked.The Island Generator will no longer charge the player when only water is generated.We have improved janitors and the cleaning systems.We have improved the laundry system.Fixed an issue were the prisoner swapped places with a visitor when using the visitor booths.Fixed an issue with laundry machine not working correctly when dirty clothes are added.Fixed an issue where punching bag could cause the game to crash. Fixed the clipping issues in Escape mode.Fixed various issues causing the game to crash.Known Issues:[Escape Mode] Players getting stuck in a corner of the map when starting a new game on a map that does not meet the minimum requirements (one empty cell + canteen)."
1,crash,The Rock 1.04 is now live!,Jul 20,"Hello, Wardens!We just deployed a new update addressing several reports we saw reported from players and modders.Thank you for all your feedback. We are grateful for our extremely passionate community!The Prison Architect TeamChangelog: Reduced the Prisoners\\xe2\\x80\\x99 clothing and Hygiene needs. Fixed an issue that caused supply items to come by batches of one. Planned Objects and Flooring now work outside of Planned Foundation. Cloning a room will no longer double object cost. Fixed an issue that caused the Prison Story \\xe2\\x80\\x9cGabos\\xe2\\x80\\x9d to start with missing prisoners. Solved a Mod functionality positioning issue. Fixed an issue that caused occasional crashes when loading a modded save file."
2,crash,New hotfix for Windows deployed!,Jun 26,"Hello Wardens!We just published a new hotfix for the Windows edition to address several issues that you reported. We are still looking into solving more, and we plan to have another update coming next week. You can find the changelog and a list of some of the issues we are currently investigating at the end of this post. This hotfix will be published on Monday for Mac and Linux.We also saw several reports about the game generating areas with only water when purchasing new \\xe2\\x80\\x9cland\\xe2\\x80\\x9d on island prisons. With today\\\'s hotfix, the game will automatically generate new islands when you expand your prison. This is the first iteration of this tool, and we plan to improve in further iterations - in the meanwhile, please try it out and let us know what you think!Additionally, we are currently working on a couple of new features including a Quick Island Generation that allows players to draw a box and generate a new random island. This tool should help you to add more islands when expanding your land. We will have more information ready to share with you during the next week.Thank you all for your feedback!The Prison Architect TeamChangelog: New Feature: When expanding an Island Map, new islands will be generated, rather than empty sea.  The game will leave an empty area for existing shipping lanes. All the Island Bound assets are now showing in the Cheat/Debug mode. Solved pathfinding issues caused by Security Checkpoints. Fixed an issue that caused the game to crash when deploying a modded room. The game will no longer crash if you intake a corrupted Name In the Game Prisoner. Tyre Apparatus can now be rotated properly. Air Paramedics will now be able to leave the map if their Helicopter is dismissed. Criminally Insane prisoners will now properly attack trees when they acquire a weapon if they really have strong feelings against that tree. Fixed several localization issues for Traditional and Simplified Chinese.Currently investigated issues: Cooks not being as productive on Island Maps. Janitors having unexpected behaviors. Issues with logistics settings of Docks and Helipads"
3,crash,ChristaDebby,Sep 2 @ 11:00am,cant play instent crash
4,crash, 6,Aug 25 @ 7:43am,game crashing on startup
5,crash,by Tim,"This guide is not really very relivant to say...HOW TO MAKE A GOOD PRISON. Though it seems like noone\\\'s taken this spot, i shall show you people the charaters of PA! Let\\\'s begin!...",How to stop crashing when prisoners riot.
6,crash,How to stop crashing when prisoners riot.,by Not Hom,This is a guide to help you stop crashing when prisoners riot in prison architect...
7,crash,murgh,Sep 9 @ 5:47am ,Go to C:\\\\Users\\\\YourUserName\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect and delete preferences.txt and settings.txt which will make the game recreate them. This loads the game as if it never was run before. Check the debug.txt there for possible errors and if crashes still occur you can find memory dump files in C:\\\\Program Files (x86)\\\\Steam\\\\steamapps\\\\common\\\\Prison Architect which you can upload to the devs for further investigation.
8,crash,#1,Sep 9 @ 8:33am ,"Originally posted by murgh:Go to C:\\\\Users\\\\YourUserName\\\\AppData\\\\Local\\\\Introversion\\\\Prison Architect and delete preferences.txt and settings.txt which will make the game recreate them. This loads the game as if it never was run before. Check the debug.txt there for possible errors and if crashes still occur you can find memory dump files in C:\\\\Program Files (x86)\\\\Steam\\\\steamapps\\\\common\\\\Prison Architect which you can upload to the devs for further investigation. Appreciate the response Murgh! I found and deleted the preferences.txt and settings.txt and when I restarted the game, it seems to not even bring up the first part of the main menu. It sort crashes while loading up. I checked the debug.txt and can see a lot of recorded errors to do something with loading staff names or something. Example: Here is one line of many in the debug.txt - ERROR in Directory::ReadPlainText : Unexpected EOL reading corresponding value for key \\xef\\xbb\\xbfin file \\\'data/staffnames.txt\\\'I will contact the Devs and see if there is a way that they can fix it. Thank you for your help though."
9,crash,#3,Sep 9 @ 2:22pm ,Don\\\'t worry about the staffnames error; it\\\'s been reported a while ago and doesn\\\'t make your game crash.
