,context,by,when,post
0,crash,"Week @ Code}{atch -- ""Beta Release v0.8""","Jul 11, 2014","Week @ Code}{atch -- ""Beta Edition v0.8""Howdy, We\\\'ve got the latest major update coming to you all live in time for the weekend! In this update, we give you all the much sought after smelter and refinery! Yes, now you don\\\'t have to hunt for your ingots (though that\\\'s still an occurance)! This is pretty fantastic news, as it also allows one to combine basic ores into advanced ores to be later smelted into the higher tier ingots required for the best equipment.  Check out the Refinery here:The refinery helps players craft the more advanced ore in the game that cannot be mined, but must be combined in order to be obtained.  And next up, we have the Smelter:This is the actual item used to convert ores into ingotsWe\\\'re also bringing you more in the way of base defense, with the introduction of the inexpensive and fast-acting minigun turret, allowing players to secure rare deposits for their faction quickly.  We\\\'re also introducing the much more powerful, elevated laser turret in order to create the feeling of a well-entrenched position.The Minigun TurretThe minigun turret standing sentry at an outpostAnd here we have the Laser Tower:The Laser Tower fending off an attack on a mountainside.With all these new defenses, you\\\'re probably wondering two things ""How do I power them all?"" and conversely ""How do I shut them down in a confrontation?"" To answer the first question, we\\\'ve added a new high-end power generator known as the Fusion Generator.  It\\\'s radius is quite massive, and has the capability of powering several objects far away from it.  And secondly, we\\\'ve equipped players with a brand new grenade type, known as the EMP grenade.  The EMP grenade specializes in shutting down turrets and other powered objects.  Check out this look at the Fusion Generator:As was previewed on our facebook page (https://www.facebook.com/StarForgeGame?ref=hl) we\\\'re introducing a new monster into the game! A custom creation of our own called the Jelly Puff! This species is reminiscent of spiders back on Earth, but with the ability to float like a jelly, and puff up and explode like a puffer fish.  They\\\'re pretty deadly in close-quarters, so be careful when wandering about the crashed ships.  They seem to be attracted to the radiation, so the stronger the emissions, the more likely you\\\'ll run into one of these guys.  An imposing close-up of the Jelly Puff:Note: Not nearly as friendly as its name would implyWe\\\'ve also spent a considerable amount of effort on fixing up the framerate issues related to creature spawning.  There should also be dramatically less creatures and NPCs spawning, along with increased spawn timers as well, aiding the fix. We\\\'ve also tidied up vehicle related issues as well, and made improvements to cave and tunnel generation.  Two more front-end changes that we\\\'ve added to the game include a new weapon (omigosh!) and adding functionality to the paint-gun.  Players are now able to paint themselves and each other, including their armor sets with the paintgun. There also is a hue-slider within the in-game settings menu, where one can dynamically change their hue.  The new weapon we\\\'ve got is the double-barrelled shotgun! The players can now fire two intense rounds of buckshot fury into the faces of their greatest nemesis before reloading this beast.  Righteous Battlecry Optional (And Recommended!)We\\\'re really excited to release this update, as we feel it ties up 0.7.5 quite nicely, and brings the progression of the development into an excellent launchpad for things to come.Thanks so much for supporting us this far, I hope you guys enjoy playing the new update! From everyone here at Code}{atch, have a good weekend!  Sincerely,--Will  PATCHNOTES:- Fixed an issue where too many enemies spawned in   multiplayer games and negatively affected performance- Reduced the total number of enemy and NPC spawns   dramatically and increased the time between spawns- The dual barrelled shotgun is now available- The EMP grenade is now available- The Fusion Power Generator is now available- The Jelly Puff is now populating the crashed ship- The Minigun Turret and Laser Tower are now available- The Smelter and Refinery are now available to craft ingots- There is a chance the mid section of the ship will be   discoverable instead of the back end- A variety of vehicle related issues have been addressed- Made improvements to cave and tunnel spawning- Players are now able to paint each other with the paint gun- Voice Chat now enabled in-game, allowing players to talk to anyone within a 75 meter radius.  Push \\\'V\\\' to enable.   ***DISCLAIMER***PREVIOUS SAVE GAMES WILL NO LONGER FUNCTION WITH THIS UPDATE- See more at: http://starforge.typepad.com/starforge/2014/07/week-codeatch-beta-edition-v08-.html#sthash.DKxcnaTQ.dpuf"
1,crash,July Community Update,Aug 4,"Hi all. As with previous posts, I\\xe2\\x80\\x99ll start by recapping a few things going on with the continued support for the first Kenshi. For this blog\\xe2\\x80\\x99s special section, we\\xe2\\x80\\x99re catching up with some of the team at Lo-fi to find out what\\xe2\\x80\\x99s keeping them sane in isolation before finally getting to development news on Kenshi 2.Experiment recursion.In the past month we\\xe2\\x80\\x99ve once again been making use of the experimental branch, most notably around an issue users reported with saved games following the latest windows update. Many players had stated they were unable to save, load, or experienced crashing when they tried. In Kenshi\\xe2\\x80\\x99s latest v1.0.50 update saves default to the Windows user directory, fixing any potential issues linked to system permissions. Please keep in mind that if you wish to edit a saved game the new location to check is C:\\\\Users\\\\<YourUsername>\\\\AppData\\\\Local\\\\kenshi\\\\save. Defined interpretation.Hinted above, after consulting with the forum mods we\\xe2\\x80\\x99ve made some overdue changes to bug reporting flow \\xe2\\x80\\x93 namely better collating more widely popular bugs, cleaning up a number of older topics, and providing a more visible response to new ones. This will likely mean pushing for a stricter adherence to the bug reporting format as I work to ensure they can be reproduced and turn them into meaningful notes to the programming team to progress. The end goal here is to keep fixing issues for in Kenshi 1 in a more transparent way, giving users more feedback on if it\\xe2\\x80\\x99s feasibly possible to fix and where we\\xe2\\x80\\x99re at with their reports. For a more worded explanation of the changes check out the pinned topic here.Hey, Fans!In past blog posts we\\xe2\\x80\\x99ve mentioned hiring a number of new team members to expand the studio for Kenshi 2. Over the next few updates, since we\\xe2\\x80\\x99re focussed on an important Kenshi 2 subproject (details further down) I\\xe2\\x80\\x99m taking the opportunity to catch up with different team members and share a little bit of who they are, what they\\xe2\\x80\\x99re up to outside of the studio, and how they\\xe2\\x80\\x99re doing working from home.Guy \\xe2\\x80\\x98Warls\\xe2\\x80\\x99 Warley \\xe2\\x80\\x93 Concept ArtistI\\xe2\\x80\\x99m Guy, a concept designer with a background in graphic design, illustration and advertising. I joined the team in November 2019 and have been working on concepts for the architecture, furniture, and characters that inhabit the world of Kenshi 2.Home setup:For my home setup I recently purchased a Wacom Cintiq Pro 24[www.wacom.com], replacing my Wacom Intous 3. After spending 12 years with the Intuos 3 (which is still going strong) it\\xe2\\x80\\x99s a big upgrade. I initially thought it was going to take a lot of time to get used to the switch but I\\xe2\\x80\\x99m already really enjoying it and using it every day. The Cintiq is connected to my MacBook Pro (Retina, 15-inch, Mid 2015) which works pretty well running things like Photoshop.Thoughts on working on Kenshi from home:I am quite used to working at home and have got into a good routine over the years. I do miss working in the office though, it\\xe2\\x80\\x99s much easier to talk through different areas of the project with everyone in the same room, much less typing!Life balance:I have been spending the lockdown back in my hometown near East Yorkshire by the coast. Running and walking are the main things keeping me going. I\\xe2\\x80\\x99m also doing some yoga in the mornings, I\\xe2\\x80\\x99m rubbish at it but enjoying it anyway.In my free time I\\xe2\\x80\\x99ve been working on several of my own illustrations, such as the album covers for three different electronic artists that I finished recently.Other freelance projects I\\xe2\\x80\\x99ve worked on that people might recognise include art for mud-and-lasers RPG \\xe2\\x80\\x98Lancer\\xe2\\x80\\x99[www.guywarley.com] and a cover for the gritty future comic \\xe2\\x80\\x98The Hand Unseen\\xe2\\x80\\x99[www.guywarley.com]. Right now, I\\xe2\\x80\\x99m working on some posters based on my favourite Studio Ghibli films which follow on from other personal projects like last year\\xe2\\x80\\x99s Akira poster[www.guywarley.com]. Victor \\xe2\\x80\\x98Mr4Goosey\\xe2\\x80\\x99 Goossens \\xe2\\x80\\x93 Technical ArtistI\\xe2\\x80\\x99m Victor, or Mr4Goosey. I\\xe2\\x80\\x99ve been doing indie-dev on my own projects for over half a decade, and I\\xe2\\x80\\x99ve spent part of that doing it for a living. I got fed up of running my own business and decided to look for a full-time job in the industry, leading me to Lo-Fi. I wanted to combine my love for making pretty things with interests in logic and programming, which is why I\\xe2\\x80\\x99m now a technical artist.Home setup:I\\xe2\\x80\\x99m running a custom PC with a Ryzen 7 2700X and a GTX1080. For peripherals, I\\xe2\\x80\\x99ve got a Decus mouse and a Razer Blackwidow (Green switches) both with lovely wrist-rests. Finally, for screens I\\xe2\\x80\\x99m running a 34\\xe2\\x80\\x9d LG Ultra-wide which I\\xe2\\x80\\x99m looking to replace with something less bulky and a 27\\xe2\\x80\\x9d AOC monitor on the side.Thoughts on working on Kenshi from home:Thanks to past projects I\\xe2\\x80\\x99m used to working from home, so it\\xe2\\x80\\x99s really not that special to me, ironically being in an office will take more getting used to. It\\xe2\\x80\\x99s nice to be in my own place and have access to my stuff, but when everything happens in the same room it\\xe2\\x80\\x99s easy to lose sight of the boundaries between work and life. It can also be hard to get to know the team properly when we\\xe2\\x80\\x99ve not properly met. All in all, I\\xe2\\x80\\x99m looking forward to being in-office; working from home feels less efficient and enjoyable than being together with people, plus it gets lonely and boring.Life balance:I\\xe2\\x80\\x99ve started another gamedev project in my spare time, though I\\xe2\\x80\\x99ve been trying to get away from my computer too. Out of my new interests the main one that helps is blacksmithing. Unfortunately, I don\\xe2\\x80\\x99t have a forge yet \\xe2\\x80\\x93 that\\xe2\\x80\\x99ll probably have to wait until I\\xe2\\x80\\x99ve moved to the UK, but as I\\xe2\\x80\\x99m mostly focussed on armouring, I can do quite a lot anyway. It\\xe2\\x80\\x99s a steep learning curve, but it\\xe2\\x80\\x99s really cool to produce something like a piece of armour out of nothing.I\\xe2\\x80\\x99m also just getting into electronics and robotics. It\\xe2\\x80\\x99s something I\\xe2\\x80\\x99ve been putting off for as long as I\\xe2\\x80\\x99ve been doing gamedev, but I\\xe2\\x80\\x99m hoping to get started on it properly now. First steps are reading up on basic electronics (I wouldn\\xe2\\x80\\x99t be able to give you a definition of a \\xe2\\x80\\x9cservo\\xe2\\x80\\x9d), because that\\xe2\\x80\\x99s the main part I\\xe2\\x80\\x99m lacking. I\\xe2\\x80\\x99m hoping I can get the hang of that then get properly stuck in!Lastly, I\\xe2\\x80\\x99ve been doing more gamedev. I\\xe2\\x80\\x99ve recently started playing around with Phyronnaz\\xe2\\x80\\x99s Voxel Plugin for UE4[github.com], and I\\xe2\\x80\\x99m currently trying to make a small, relaxing game in which you build a low-poly eco dome with cute animals in it. Not sure exactly where it\\xe2\\x80\\x99ll be going, but I\\xe2\\x80\\x99m hoping to release it on Steam for a few bucks at some point in a similar vein to Islanders.Harrison \\xe2\\x80\\x98Boodals\\xe2\\x80\\x99 \\xe2\\x80\\x93 ProgrammerI\\xe2\\x80\\x99m Harrison, or Boodals, the programmer who was hired back in November. Up until now I\\\'ve been working on remaking the GUIs from Kenshi 1 in Unreal Engine, but now that we\\\'ve hired Craig, I can shift my efforts onto less urgent tasks, such as code cleanliness and stability. I won\\xe2\\x80\\x99t go into too much detail, but I\\\'d call it more of a support role, making the other programming jobs easier and faster, and discouraging code which could be unstable.Home setup:Since we started working from home, I\\\'ve been using my own PC for most tasks. We do all have laptops to work on, but I don\\xe2\\x80\\x99t have the desk space to fit mine. Using my PC also allows me to test the GUIs I previously spoke about on a 4k screen to make sure everything functions correctly at higher resolutions.Thoughts on working on Kenshi from home:Working from home is pretty great, mainly due to lie-ins and easy access to snacks (ha-ha), but it does come with its downsides. Not being able to quickly speak to other developers or show each other what we\\\'re working on makes it harder to get stuff done. We\\\'re exploring several apps and programs to minimize this, but you can\\\'t beat being in the same room.Life balance:Outside of work, the lockdown really hasn\\\'t affected me too much, as I\\\'m one of the lucky ones who isn\\\'t bothered by being locked in. I moved house just before the lockdown started, so I\\\'ve been hanging out with my new housemates and their cat, whom I pay tribute to in the form of pets every time I pass through Her domain (stairs, hallway, kitchen\\xe2\\x80\\xa6)Declarative prologue. The team have been hugely busy this month working on a \\xe2\\x80\\x98vertical slice\\xe2\\x80\\x99 of Kenshi 2, which I have the pleasure of sharing snippets of today. For those unaware of the terminology, a vertical slice is a portion of near-finished quality game which then allows a studio to visualise some of what they\\xe2\\x80\\x99re up to. It\\xe2\\x80\\x99s traditionally distinct from a prototype in that the quality is much higher leaving less room for flexibility but for us we\\xe2\\x80\\x99re blurring that line a bit and using it primarily as a tangible design tool. Internally nicknamed \\xe2\\x80\\x98Concrete Neon\\xe2\\x80\\x99, it\\xe2\\x80\\x99s about having a space to test and iterate on some of Kenshi 2\\xe2\\x80\\x99s ideas by taking them away from a design document and experiencing how they might actually be played. Sharing some thoughts on our first major milestone, Chris compares Concrete Neon to founding Kenshi\\xe2\\x80\\x99s Holy Nation and his hands on approach to game design: \\xe2\\x80\\x9cAnyone who played the [Kenshi 1 early access] map in it\\\'s earliest incarnation will remember that only a small area around the holy nation was active, the rest was greyed-out and you couldn\\\'t go there, because it wasn\\\'t finished.  This gives us a test bed to get everything working early on so we can play the game and experiment.  I\\\'m not a very formal designer, my technique is iterative because my \\xe2\\x80\\x98special skill\\xe2\\x80\\x99 is playing a game for a while and then going ""hunger needs to be 0.8x slower and strength needs to raise 1.12x faster instead of 1.08x"".  It\\\'s also better that way because I can approach the design as a player rather than as a game designer.  I don\\\'t like game designers.\\xe2\\x80\\x9d---This month\\xe2\\x80\\x99s blog post was intended for last so ran a little late, but we\\xe2\\x80\\x99d love to hear your thoughts in the comments \\xe2\\x80\\x93 with so many players following different game development projects it\\xe2\\x80\\x99s a great place to reflect. As ever you can join us on Twitter and Facebook[www.facebook.com] where we still have an upcoming creator competition to announce once we\\xe2\\x80\\x99ve worked out the prizes... If you\\xe2\\x80\\x99d like a none-Steam way to keep up with the studio, blogs are available on our website[lofigames.com] and via our mailing list[eepurl.com].Cheers,"
2,crash,How to win on StarForge,by Bananaedmonkey,"There are multiple endings for StarForge such as: crashing, and blue screens and even total organ failure. (not in the game, i mean in reall life) In this guid i will show you how to beat StarForge...."
3,crash,#7,"Dec 6, 2015 @ 4:00pm ","Originally posted by Speedy\\xe2\\x99\\xa5:Originally posted by Trillnar:It still will not work  here . I have a fresh windows 10 install on a newely formatted hd with all drivers up to date. try running it as an admin I did , same result , runs a few seconds then crashes."
4,crash,Ghostnsystem,"Dec 9, 2015 @ 8:40pm ","Working fine for me, may be a hardware issue not a windows 10 issue, possible driver conflict due to the upgrade maybe. Running Windows 10 x64, played for over 30 minutes max graphics no crash."
5,crash,#10,"Dec 10, 2015 @ 4:37am ","Originally posted by Ghostnsystem:Working fine for me, may be a hardware issue not a windows 10 issue, possible driver conflict due to the upgrade maybe. Running Windows 10 x64, played for over 30 minutes max graphics no crash. I started with newly formatted hard drive and all drivers are updated. All of the other unity based games I have work fine ,  it is something in the game code causing the crash. It worked fine on windows 7."
6,crash,#11,"Dec 10, 2015 @ 11:21am ","Originally posted by Trillnar:Originally posted by Ghostnsystem:Working fine for me, may be a hardware issue not a windows 10 issue, possible driver conflict due to the upgrade maybe. Running Windows 10 x64, played for over 30 minutes max graphics no crash. I started with newly formatted hard drive and all drivers are updated. All of the other unity based games I have work fine ,  it is something in the game code causing the crash. It worked fine on windows 7. Not saying the drivers aren\\\'t updated, saying that the way the drivers and the game are interfacing on windows 10 may be the issue. I don\\\'t think it is something with just the game and windows 10, otherwise it would be a complete 100% issue, since it is not, it has to be a widespread issue related to similar hardware setups. Now if the game wasn\\\'t a total piece of garbage and had some support they could have easily patched the issue and no one would have this problem."
7,crash,#12,"Dec 10, 2015 @ 2:41pm ","Originally posted by Ghostnsystem:Originally posted by Trillnar:I started with newly formatted hard drive and all drivers are updated. All of the other unity based games I have work fine ,  it is something in the game code causing the crash. It worked fine on windows 7. Not saying the drivers aren\\\'t updated, saying that the way the drivers and the game are interfacing on windows 10 may be the issue. I don\\\'t think it is something with just the game and windows 10, otherwise it would be a complete 100% issue, since it is not, it has to be a widespread issue related to similar hardware setups. Now if the game wasn\\\'t a total piece of garbage and had some support they could have easily patched the issue and no one would have this problem. I took it off long ago , there are better games out there to play now."
8,crash,Lion,"Jul 23, 2013 @ 2:34pm ","my game crash after hit play intel core i5 3330 ram 8gb, gforce gt220"
9,crash,Mush,"Jul 24, 2013 @ 2:47am ","starforge(with a little help) made it\\\'s first victim, a 7y old dual core on a hot summer day.i think it cooked the cpu and half of the 8gb ram it had.not a big deal, we knew it was coming on that rig.just keep an eye on temperatures on older computers when running starforge.even more on hot days.i wonder if the game generated a crash report before the safety shut down everything.the hard drive is fine, so i should be able to recover the crash report IF it was generated? starforge was not the direct cause of the problem, it happened to be running at the time. "
